episode,score,avg_score,steps  taken
1,3000.0,3000.0,421
2,3000.0,3000.0,842
3,3000.0,3000.0,1263
4,3000.0,3000.0,1684
5,3400.0,3080.0,2110
6,3400.0,3133.3333333333335,2536
7,2800.0,3085.714285714286,3011
8,3400.0,3125.0,3437
9,3400.0,3155.5555555555557,3863
10,3400.0,3180.0,4289
11,2500.0,3118.181818181818,4716
12,3400.0,3141.6666666666665,5142
13,2800.0,3115.3846153846152,5563
14,3400.0,3135.714285714286,5990
15,3400.0,3153.3333333333335,6416
16,3600.0,3181.25,6836
17,3100.0,3176.470588235294,7237
18,3600.0,3200.0,7657
19,2800.0,3178.9473684210525,8081
20,3600.0,3200.0,8501
21,3600.0,3219.0476190476193,8921
22,3600.0,3236.3636363636365,9341
23,3400.0,3243.478260869565,9759
24,3600.0,3258.3333333333335,10179
25,3600.0,3272.0,10599
26,3600.0,3284.6153846153848,11019
27,3600.0,3296.296296296296,11439
28,3600.0,3307.1428571428573,11859
29,2800.0,3289.655172413793,12288
30,3600.0,3300.0,12708
31,3600.0,3309.6774193548385,13128
32,3600.0,3318.75,13548
33,3600.0,3327.2727272727275,13968
34,3600.0,3335.294117647059,14388
35,3600.0,3342.8571428571427,14808
36,1000.0,3277.777777777778,15224
37,3600.0,3286.4864864864867,15644
38,3000.0,3278.9473684210525,16043
39,3600.0,3287.1794871794873,16463
40,3000.0,3280.0,16834
41,3600.0,3287.8048780487807,17254
42,3600.0,3295.2380952380954,17674
43,2800.0,3283.720930232558,18111
44,3600.0,3290.909090909091,18531
45,3600.0,3297.777777777778,18951
46,3200.0,3295.6521739130435,19347
47,3600.0,3302.127659574468,19767
48,3600.0,3308.3333333333335,20187
49,3400.0,3310.204081632653,20623
50,3600.0,3316.0,21043
51,3600.0,3321.5686274509803,21463
52,3600.0,3326.923076923077,21883
53,3600.0,3332.0754716981132,22303
54,3100.0,3327.777777777778,22732
55,3500.0,3330.909090909091,23159
56,3600.0,3335.714285714286,23579
57,2000.0,3312.280701754386,23997
58,2800.0,3303.448275862069,24427
59,3600.0,3308.4745762711864,24847
60,2800.0,3300.0,25205
61,3600.0,3304.9180327868853,25625
62,3600.0,3309.6774193548385,26045
63,3200.0,3307.936507936508,26472
64,3600.0,3312.5,26892
65,3600.0,3316.923076923077,27312
66,3600.0,3321.212121212121,27732
67,3600.0,3325.373134328358,28152
68,1800.0,3302.9411764705883,28519
69,3600.0,3307.246376811594,28939
70,3600.0,3311.4285714285716,29359
71,3600.0,3315.492957746479,29779
72,2000.0,3297.222222222222,30196
73,3600.0,3301.3698630136987,30616
74,3600.0,3305.4054054054054,31036
75,3600.0,3309.3333333333335,31456
76,1400.0,3284.2105263157896,31810
77,3600.0,3288.311688311688,32230
78,3600.0,3292.3076923076924,32650
79,3600.0,3296.2025316455697,33070
80,3600.0,3300.0,33490
81,3600.0,3303.703703703704,33910
82,3600.0,3307.317073170732,34330
83,3600.0,3310.843373493976,34750
84,3600.0,3314.285714285714,35170
85,2800.0,3308.235294117647,35540
86,3600.0,3311.6279069767443,35960
87,2600.0,3303.448275862069,36384
88,3600.0,3306.818181818182,36804
89,3600.0,3310.112359550562,37224
90,3600.0,3313.3333333333335,37644
91,3600.0,3316.4835164835163,38064
92,3400.0,3317.391304347826,38465
93,2200.0,3305.3763440860216,38863
94,3600.0,3308.5106382978724,39283
95,3400.0,3309.4736842105262,39705
96,3600.0,3312.5,40125
97,3600.0,3315.463917525773,40545
98,3600.0,3318.3673469387754,40965
99,3600.0,3321.212121212121,41385
100,3600.0,3324.0,41805
101,3600.0,3330.0,42225
102,200.0,3302.0,42574
103,3600.0,3308.0,42994
104,2600.0,3304.0,43422
105,3600.0,3306.0,43842
106,3600.0,3308.0,44262
107,3600.0,3316.0,44682
108,3600.0,3318.0,45102
109,3600.0,3320.0,45522
110,2600.0,3312.0,45942
111,3600.0,3323.0,46362
112,3600.0,3325.0,46782
113,3600.0,3333.0,47202
114,3600.0,3335.0,47622
115,3600.0,3337.0,48042
116,3600.0,3337.0,48462
117,3600.0,3342.0,48882
118,3600.0,3342.0,49302
119,3600.0,3350.0,49722
120,3600.0,3350.0,50142
121,3600.0,3350.0,50562
122,3600.0,3350.0,50982
123,3600.0,3352.0,51402
124,3600.0,3352.0,51822
125,3600.0,3352.0,52242
126,3600.0,3352.0,52662
127,3600.0,3352.0,53082
128,3600.0,3352.0,53502
129,3600.0,3360.0,53922
130,2600.0,3350.0,54293
131,1800.0,3332.0,54677
132,3600.0,3332.0,55097
133,3600.0,3332.0,55517
134,2800.0,3324.0,55887
135,3600.0,3324.0,56307
136,600.0,3320.0,56709
137,2200.0,3306.0,57073
138,3600.0,3312.0,57493
139,3600.0,3312.0,57913
140,3600.0,3318.0,58333
141,3600.0,3318.0,58753
142,3600.0,3318.0,59173
143,3600.0,3326.0,59593
144,3600.0,3326.0,60013
145,3600.0,3326.0,60433
146,3600.0,3330.0,60853
147,3600.0,3330.0,61273
148,3600.0,3330.0,61693
149,3600.0,3332.0,62113
150,3600.0,3332.0,62533
151,3600.0,3332.0,62953
152,3600.0,3332.0,63373
153,3600.0,3332.0,63793
154,3600.0,3337.0,64213
155,3600.0,3338.0,64633
156,3600.0,3338.0,65053
157,3000.0,3348.0,65425
158,2000.0,3340.0,65822
159,3600.0,3340.0,66242
160,3600.0,3348.0,66662
161,3600.0,3348.0,67082
162,3600.0,3348.0,67502
163,3600.0,3352.0,67922
164,3600.0,3352.0,68342
165,3600.0,3352.0,68762
166,3600.0,3352.0,69182
167,3600.0,3352.0,69602
168,3600.0,3370.0,70022
169,3600.0,3370.0,70442
170,3600.0,3370.0,70862
171,3600.0,3370.0,71282
172,3600.0,3386.0,71702
173,3600.0,3386.0,72122
174,3600.0,3386.0,72542
175,3600.0,3386.0,72962
176,2400.0,3396.0,73381
177,3200.0,3392.0,73767
178,3600.0,3392.0,74187
179,3600.0,3392.0,74607
180,3600.0,3392.0,75027
181,3600.0,3392.0,75447
182,3600.0,3392.0,75867
183,3200.0,3388.0,76292
184,2500.0,3377.0,76772
185,3600.0,3385.0,77192
186,3600.0,3385.0,77612
187,3600.0,3395.0,78032
188,3600.0,3395.0,78452
189,3600.0,3395.0,78872
190,3800.0,3397.0,79293
191,400.0,3365.0,79634
192,3800.0,3369.0,80055
193,3800.0,3385.0,80476
194,3800.0,3387.0,80897
195,3800.0,3391.0,81318
196,3800.0,3393.0,81739
197,3800.0,3395.0,82160
198,3800.0,3397.0,82581
199,3800.0,3399.0,83002
200,3800.0,3401.0,83423
201,3800.0,3403.0,83844
202,3800.0,3439.0,84265
203,1400.0,3417.0,84650
204,2900.0,3420.0,85049
205,3800.0,3422.0,85470
206,3800.0,3424.0,85891
207,3800.0,3426.0,86312
208,3800.0,3428.0,86733
209,3800.0,3430.0,87154
210,1000.0,3414.0,87466
211,3800.0,3416.0,87887
212,3800.0,3418.0,88308
213,3800.0,3420.0,88729
214,3800.0,3422.0,89150
215,3800.0,3424.0,89571
216,3800.0,3426.0,89992
217,3800.0,3428.0,90413
218,3800.0,3430.0,90834
219,3800.0,3432.0,91255
220,3800.0,3434.0,91676
221,3800.0,3436.0,92097
222,3200.0,3432.0,92522
223,3200.0,3428.0,92935
224,3800.0,3430.0,93356
225,3800.0,3432.0,93777
226,3800.0,3434.0,94198
227,3800.0,3436.0,94619
228,3800.0,3438.0,95040
229,3800.0,3440.0,95461
230,3800.0,3452.0,95882
231,3800.0,3472.0,96303
232,3800.0,3474.0,96724
233,2600.0,3464.0,97139
234,3800.0,3474.0,97560
235,3800.0,3476.0,97981
236,3800.0,3508.0,98402
237,3800.0,3524.0,98823
238,3800.0,3526.0,99244
239,3800.0,3528.0,99665
240,3800.0,3530.0,100086
241,3800.0,3532.0,100507
242,3800.0,3534.0,100928
243,3800.0,3536.0,101349
244,3500.0,3535.0,101839
245,2000.0,3519.0,102252
246,3800.0,3521.0,102673
247,2200.0,3507.0,103099
248,1200.0,3483.0,103484
249,3800.0,3485.0,103905
250,3800.0,3487.0,104326
251,3800.0,3489.0,104747
252,3800.0,3491.0,105168
253,3800.0,3493.0,105589
254,3800.0,3495.0,106010
255,3800.0,3497.0,106431
256,3800.0,3499.0,106852
257,3800.0,3507.0,107273
258,3300.0,3520.0,107699
259,3800.0,3522.0,108120
260,3800.0,3524.0,108541
261,3000.0,3518.0,108939
262,3700.0,3519.0,109367
263,3800.0,3521.0,109788
264,3800.0,3523.0,110209
265,2600.0,3513.0,110573
