episode,score,avg_score,avg_actor_loss,avg_critic_loss,avg_total_loss,steps  taken
0,7300.0,0,0,0,0,1098
1,1500.0,7300.0,0,0,0,1663
2,1900.0,4400.0,-1.9293060950934886,0.9292471006264812,-1.464682544780247,2280
3,4400.0,3566.6666666666665,-1.9293060950934886,0.9292471006264812,-1.464682544780247,3091
4,3300.0,3775.0,-1.9293060950934886,0.9292471006264812,-1.464682544780247,3881
5,4300.0,3680.0,-1.9882310573011637,1.065793155911536,-1.455334479345396,4702
6,4200.0,3783.3333333333335,-1.9882310573011637,1.065793155911536,-1.455334479345396,5481
7,6000.0,3842.8571428571427,-1.8937176113948226,0.9946077371785303,-1.3964137428055567,6437
8,4800.0,4112.5,-1.8937176113948226,0.9946077371785303,-1.3964137428055567,7284
9,7900.0,4188.888888888889,-1.9190422062762083,0.8031370317215668,-1.5174736904154247,8447
10,1400.0,4560.0,-1.9190422062762083,0.8031370317215668,-1.5174736904154247,8961
11,3800.0,4272.727272727273,-1.9190422062762083,0.8031370317215668,-1.5174736904154247,9741
12,1300.0,4233.333333333333,-1.9429739212617279,1.156009927111897,-1.3649689577057784,10306
13,4300.0,4007.6923076923076,-1.9429739212617279,1.156009927111897,-1.3649689577057784,11134
14,500.0,4028.5714285714284,-1.9429739212617279,1.156009927111897,-1.3649689577057784,11576
15,2500.0,3793.3333333333335,-1.9429739212617279,1.156009927111897,-1.3649689577057784,12235
16,2700.0,3712.5,-1.7873072424903511,1.1431097701475066,-1.2157523574165974,12842
17,2000.0,3652.9411764705883,-1.7873072424903511,1.1431097701475066,-1.2157523574165974,13453
18,2400.0,3561.1111111111113,-1.7873072424903511,1.1431097701475066,-1.2157523574165974,14078
19,2300.0,3500.0,-1.8394950018264353,0.9754569270524451,-1.3517665383002135,14838
20,4100.0,3440.0,-1.8394950018264353,0.9754569270524451,-1.3517665383002135,15714
21,2000.0,3471.4285714285716,-1.8394950018264353,0.9754569270524451,-1.3517665383002135,16334
22,2000.0,3404.5454545454545,-1.8209538955241442,1.1114662212710404,-1.265220784888624,16980
23,1400.0,3343.478260869565,-1.8209538955241442,1.1114662212710404,-1.265220784888624,17479
24,3000.0,3262.5,-1.8209538955241442,1.1114662212710404,-1.265220784888624,18197
25,2100.0,3252.0,-1.7960366543382407,1.1905324554153942,-1.2007704266305432,18812
26,2000.0,3207.6923076923076,-1.7960366543382407,1.1905324554153942,-1.2007704266305432,19414
27,6800.0,3162.962962962963,-2.1392041414044796,1.0697160816748534,-1.6043461005670523,20653
28,3700.0,3292.8571428571427,-2.1392041414044796,1.0697160816748534,-1.6043461005670523,21382
29,2000.0,3306.896551724138,-2.1392041414044796,1.0697160816748534,-1.6043461005670523,21984
30,5600.0,3263.3333333333335,-2.0383441880345345,1.0726739934372722,-1.5020071913158968,23039
31,2000.0,3338.7096774193546,-2.0383441880345345,1.0726739934372722,-1.5020071913158968,23647
32,6300.0,3296.875,-2.0898653556592763,0.75978692573653,-1.709971892791011,24674
33,6600.0,3387.878787878788,-2.0898653556592763,0.75978692573653,-1.709971892791011,25759
34,6000.0,3482.3529411764707,-1.9781304873526095,0.8281537470448587,-1.564053613830181,26809
35,2600.0,3554.285714285714,-1.9781304873526095,0.8281537470448587,-1.564053613830181,27450
36,2700.0,3527.777777777778,-1.9781304873526095,0.8281537470448587,-1.564053613830181,28099
37,7000.0,3505.4054054054054,-2.057812103116885,1.0439630864962919,-1.5358305598687392,29176
38,4200.0,3597.3684210526317,-2.057812103116885,1.0439630864962919,-1.5358305598687392,29980
39,2400.0,3612.8205128205127,-2.057812103116885,1.0439630864962919,-1.5358305598687392,30597
40,7500.0,3582.5,-1.9478141744621098,1.0386731242090446,-1.4284776123575873,31701
41,4300.0,3678.048780487805,-1.9478141744621098,1.0386731242090446,-1.4284776123575873,32517
42,1200.0,3692.8571428571427,-1.9594764241948723,0.8685505231957519,-1.5252011625969966,33041
43,2400.0,3634.8837209302324,-1.9594764241948723,0.8685505231957519,-1.5252011625969966,33665
44,3700.0,3606.818181818182,-1.9594764241948723,0.8685505231957519,-1.5252011625969966,34596
45,6100.0,3608.8888888888887,-1.974676304962486,1.1470653068190184,-1.4011436515529774,35637
46,4100.0,3663.0434782608695,-1.974676304962486,1.1470653068190184,-1.4011436515529774,36428
47,5300.0,3672.340425531915,-1.8368817778304218,0.8834127506569356,-1.395175402501954,37327
48,1700.0,3706.25,-1.8368817778304218,0.8834127506569356,-1.395175402501954,37911
49,5200.0,3665.3061224489797,-1.8368817778304218,0.8834127506569356,-1.395175402501954,38834
50,5000.0,3696.0,-2.157549825683236,0.9037143025094745,-1.705692674428498,39742
51,4500.0,3721.5686274509803,-2.157549825683236,0.9037143025094745,-1.705692674428498,40572
52,6400.0,3736.5384615384614,-2.003465990256518,0.9557997299893974,-1.5255661252618204,41616
53,3500.0,3786.7924528301887,-2.003465990256518,0.9557997299893974,-1.5255661252618204,42380
54,2000.0,3781.4814814814813,-2.003465990256518,0.9557997299893974,-1.5255661252618204,42966
55,3000.0,3749.090909090909,-2.0423519177362324,1.0431226387565804,-1.5207905983579415,43641
56,2700.0,3735.714285714286,-2.0423519177362324,1.0431226387565804,-1.5207905983579415,44320
57,2000.0,3717.5438596491226,-2.0423519177362324,1.0431226387565804,-1.5207905983579415,44904
58,3700.0,3687.9310344827586,-1.9044567961245775,0.9976967109013826,-1.4056084406738854,45645
59,3000.0,3688.135593220339,-1.9044567961245775,0.9976967109013826,-1.4056084406738854,46356
60,1300.0,3676.6666666666665,-1.9044567961245775,0.9976967109013826,-1.4056084406738854,46889
61,3100.0,3637.7049180327867,-1.8805499823763967,1.0272266241234644,-1.3669366703146648,47579
62,2700.0,3629.032258064516,-1.8805499823763967,1.0272266241234644,-1.3669366703146648,48165
63,6500.0,3614.285714285714,-1.9131134523078799,0.9262825256959266,-1.449972189459916,49179
64,1500.0,3659.375,-1.9131134523078799,0.9262825256959266,-1.449972189459916,49734
