episode,score,avg_score,avg_actor_loss,avg_critic_loss,avg_total_loss,steps  taken
0,3180.0,0,0,0,0,928
1,3030.0,3180.0,0,0,0,1776
2,4010.0,3105.0,-1.8169809418730438,1.0378707168115988,-1.2980455834672424,2829
3,3100.0,3406.6666666666665,-1.8169809418730438,1.0378707168115988,-1.2980455834672424,3708
4,2670.0,3330.0,-1.847163679357618,0.9896810042117691,-1.3523231772517337,4472
5,3330.0,3198.0,-1.847163679357618,0.9896810042117691,-1.3523231772517337,5431
6,2340.0,3220.0,-1.6771799236536027,0.8498454433045162,-1.2522572020013443,6203
7,2780.0,3094.285714285714,-1.6771799236536027,0.8498454433045162,-1.2522572020013443,7086
8,3270.0,3055.0,-1.6771799236536027,0.8498454433045162,-1.2522572020013443,8028
9,2400.0,3078.8888888888887,-1.3708182684145869,0.993939269293153,-0.8738486337680103,8808
10,3420.0,3011.0,-1.3708182684145869,0.993939269293153,-0.8738486337680103,9684
11,2450.0,3048.181818181818,-1.7274821211583913,0.9029295265478712,-1.2760173578844556,10530
12,4410.0,2998.3333333333335,-1.7274821211583913,0.9029295265478712,-1.2760173578844556,11658
13,2480.0,3106.923076923077,-1.9677791512571274,1.1042479238476322,-1.4156551893333122,12669
14,2400.0,3062.1428571428573,-1.9677791512571274,1.1042479238476322,-1.4156551893333122,13383
15,3020.0,3018.0,-1.450261270068586,1.0818413359622345,-0.9093406020874687,14457
16,2100.0,3018.125,-1.450261270068586,1.0818413359622345,-0.9093406020874687,15185
17,3510.0,2964.1176470588234,-1.450261270068586,1.0818413359622345,-0.9093406020874687,16096
18,1500.0,2994.4444444444443,-1.862636329047382,1.0993700704990625,-1.3129512937978505,16723
19,2910.0,2915.7894736842104,-1.862636329047382,1.0993700704990625,-1.3129512937978505,17640
20,5030.0,2915.5,-1.793481065891683,0.9846942823577847,-1.3011339247127898,19156
21,2430.0,3016.190476190476,-1.793481065891683,0.9846942823577847,-1.3011339247127898,20316
22,6370.0,2989.5454545454545,-1.8802587367594241,1.1481352751426717,-1.3061910991880878,22031
23,3370.0,3136.521739130435,-2.641638843808323,1.2655930844483354,-2.008842301584154,23019
24,4810.0,3146.25,-2.641638843808323,1.2655930844483354,-2.008842301584154,24399
25,2410.0,3212.8,-2.303465907368809,1.0114375641332987,-1.7977471253021595,25194
26,3160.0,3181.923076923077,-2.303465907368809,1.0114375641332987,-1.7977471253021595,26086
27,3120.0,3181.1111111111113,-1.339038036670536,1.0679856933665683,-0.8050451899872518,27262
28,3440.0,3178.9285714285716,-1.339038036670536,1.0679856933665683,-0.8050451899872518,28199
29,3710.0,3187.9310344827586,-2.117879081238061,0.9770330412598179,-1.629362560608151,29113
30,2500.0,3205.3333333333335,-2.117879081238061,0.9770330412598179,-1.629362560608151,29806
31,2770.0,3182.5806451612902,-1.6079784100875258,1.0017622541105753,-1.1070972830322383,30908
32,2010.0,3169.6875,-1.6079784100875258,1.0017622541105753,-1.1070972830322383,31633
33,3680.0,3134.5454545454545,-1.6079784100875258,1.0017622541105753,-1.1070972830322383,32704
34,3130.0,3150.5882352941176,-2.099170219153166,1.1780761013652417,-1.5101321684705455,33870
35,3200.0,3150.0,-2.099170219153166,1.1780761013652417,-1.5101321684705455,34652
36,3230.0,3151.3888888888887,-1.7367275971919298,0.9391829058105635,-1.2671361442866478,35794
37,3000.0,3153.5135135135133,-1.7367275971919298,0.9391829058105635,-1.2671361442866478,36623
38,3090.0,3149.4736842105262,-2.057937964517623,1.3083230239508379,-1.403776452542204,37600
39,3380.0,3147.948717948718,-2.057937964517623,1.3083230239508379,-1.403776452542204,38540
40,2900.0,3153.75,-1.906791778188199,1.1579727694969235,-1.3278053934397374,39336
41,3270.0,3147.560975609756,-1.906791778188199,1.1579727694969235,-1.3278053934397374,40500
42,3620.0,3150.4761904761904,-1.9596479177940638,1.1667524741507083,-1.3762716807187096,41674
43,3830.0,3161.3953488372094,-1.9596479177940638,1.1667524741507083,-1.3762716807187096,42866
44,3830.0,3176.590909090909,-2.0133708061650397,1.120165381119037,-1.453288115605519,44117
45,3380.0,3191.1111111111113,-1.8423242650926113,1.0314347103602932,-1.3266069099124655,45318
46,3100.0,3195.217391304348,-1.8423242650926113,1.0314347103602932,-1.3266069099124655,46083
47,3100.0,3193.191489361702,-1.8423242650926113,1.0314347103602932,-1.3266069099124655,46869
48,3100.0,3191.25,-1.7998023840598762,1.0534479937842094,-1.2730783871677718,47671
49,3690.0,3189.387755102041,-1.7998023840598762,1.0534479937842094,-1.2730783871677718,48957
50,2160.0,3199.4,-1.6778803746216,1.0446183602910517,-1.155571194476074,49859
51,3300.0,3179.0196078431372,-1.6778803746216,1.0446183602910517,-1.155571194476074,50662
52,3660.0,3181.346153846154,-2.012290236912668,0.9372496462051151,-1.54366541381011,52025
53,2500.0,3190.377358490566,-2.012290236912668,0.9372496462051151,-1.54366541381011,52831
54,2200.0,3177.5925925925926,-1.8526562354993075,1.133082679471411,-1.286114895763601,53512
55,2200.0,3159.818181818182,-1.8526562354993075,1.133082679471411,-1.286114895763601,54273
56,3400.0,3142.6785714285716,-1.8526562354993075,1.133082679471411,-1.286114895763601,55072
57,4100.0,3147.1929824561403,-1.7253891132771968,0.8389346357463807,-1.3059217954040065,56696
58,2800.0,3163.6206896551726,-2.0221239499747754,1.055204684587565,-1.494521607680994,57442
59,3860.0,3157.4576271186443,-2.0221239499747754,1.055204684587565,-1.494521607680994,58609
60,2750.0,3169.1666666666665,-2.156264916434884,1.221913972277649,-1.545307930296059,59541
61,2930.0,3162.2950819672133,-2.156264916434884,1.221913972277649,-1.545307930296059,60728
62,4600.0,3158.548387096774,-2.373168033361435,1.2289612754133903,-1.7586873956547389,61967
63,4500.0,3181.4285714285716,-2.373168033361435,1.2289612754133903,-1.7586873956547389,63279
64,2720.0,3202.03125,-1.9733757190406322,1.0069835284771178,-1.469883954802074,64164
65,2940.0,3194.6153846153848,-1.9733757190406322,1.0069835284771178,-1.469883954802074,65044
66,5500.0,3190.757575757576,-1.8471636682748795,1.1342380158547272,-1.2800446603475153,66319
67,4790.0,3225.223880597015,-1.7248232348822057,1.8532090510881538,-0.798218709338129,67832
68,2200.0,3248.235294117647,-1.7248232348822057,1.8532090510881538,-0.798218709338129,68630
69,3300.0,3233.0434782608695,-1.7248232348822057,1.8532090510881538,-0.798218709338129,69509
70,3200.0,3234.0,-1.823127900250256,0.9488176938147074,-1.348719053342903,70382
71,4080.0,3233.521126760563,-1.8747963924892246,1.154602803599222,-1.2974949906896138,72045
72,3760.0,3245.277777777778,-1.8747963924892246,1.154602803599222,-1.2974949906896138,72948
73,5520.0,3252.328767123288,-2.001155231706798,1.083844850529526,-1.4592328064420357,75050
74,3030.0,3282.972972972973,-2.399365255702287,1.2362352781031967,-1.7812476166506883,76153
75,2620.0,3279.6,-2.399365255702287,1.2362352781031967,-1.7812476166506883,76994
76,4030.0,3270.9210526315787,-1.8330278672277927,1.1552816095768725,-1.2553870624393568,78039
77,3690.0,3280.779220779221,-1.8330278672277927,1.1552816095768725,-1.2553870624393568,79130
78,3200.0,3286.025641025641,-2.1597896104678513,1.1172562228556768,-1.601161499040014,80061
79,3550.0,3284.9367088607596,-2.1597896104678513,1.1172562228556768,-1.601161499040014,81186
80,3370.0,3288.25,-1.7740878468379377,0.9654800450720922,-1.2913478243018912,82269
81,3320.0,3289.259259259259,-1.7740878468379377,0.9654800450720922,-1.2913478243018912,83136
82,2980.0,3289.6341463414633,-1.6345502859912813,1.053968455244164,-1.1075660583692,84346
83,3200.0,3285.9036144578313,-1.6345502859912813,1.053968455244164,-1.1075660583692,85209
84,2510.0,3284.8809523809523,-1.6345502859912813,1.053968455244164,-1.1075660583692,85973
85,4450.0,3275.764705882353,-1.8835051476955413,1.1876178314936852,-1.2896962319486995,87443
86,3650.0,3289.4186046511627,-2.546245931275189,1.3352042226029883,-1.878643819973695,88765
87,3210.0,3293.5632183908046,-2.546245931275189,1.3352042226029883,-1.878643819973695,89621
88,4510.0,3292.6136363636365,-1.9214544339105486,1.0877241599658705,-1.3775923539276138,91069
89,3400.0,3306.2921348314608,-1.9214544339105486,1.0877241599658705,-1.3775923539276138,91936
90,3200.0,3307.3333333333335,-2.063578958529979,0.852471550208808,-1.637343183425574,92733
91,3200.0,3306.153846153846,-2.063578958529979,0.852471550208808,-1.637343183425574,93538
92,3310.0,3305.0,-1.5878543827682734,0.8345766059195805,-1.170566079808483,94427
93,4210.0,3305.05376344086,-1.5878543827682734,0.8345766059195805,-1.170566079808483,95491
94,3530.0,3314.68085106383,-1.9006187265738845,1.0048147926820012,-1.3982113302328838,96460
95,3710.0,3316.9473684210525,-1.9006187265738845,1.0048147926820012,-1.3982113302328838,97472
96,2980.0,3321.0416666666665,-1.7671223709359765,0.9019420093710144,-1.3161513662504691,98415
97,3500.0,3317.5257731958764,-1.7671223709359765,0.9019420093710144,-1.3161513662504691,99397
98,3960.0,3319.387755102041,-1.8619898877106607,1.0697366541477609,-1.327121560636781,100806
99,3170.0,3325.8585858585857,-1.8619898877106607,1.0697366541477609,-1.327121560636781,101720
100,3730.0,3324.3,-2.1483855394646527,1.2485374954074648,-1.52411679176092,102835
101,5000.0,3329.8,-2.0789090316742658,1.0663623993662976,-1.5457278319911152,104644
102,3970.0,3349.5,-2.0789090316742658,1.0663623993662976,-1.5457278319911152,105847
103,5760.0,3349.1,-2.2425164986401795,1.0775350073933592,-1.7037489949435027,107527
104,5130.0,3375.7,-2.190338483545929,1.1420316593069946,-1.6193226538924332,109008
105,3820.0,3400.3,-2.190338483545929,1.1420316593069946,-1.6193226538924332,110079
106,4100.0,3405.2,-2.279529983457178,1.1081098046801507,-1.7254750811171031,111393
107,4360.0,3422.8,-2.0911556114442647,1.0839346807089414,-1.549188271089795,112907
108,4900.0,3438.6,-2.0911556114442647,1.0839346807089414,-1.549188271089795,114470
109,3930.0,3454.9,-2.345472750067711,1.1494639523706476,-1.7707407738823868,115713
110,3340.0,3470.2,-2.345472750067711,1.1494639523706476,-1.7707407738823868,116669
111,4530.0,3469.4,-2.0208095299080013,1.0076247539250205,-1.5169971529454913,117816
112,4150.0,3490.2,-2.0043170511722566,1.325125851435199,-1.341754125454657,118906
113,2000.0,3487.6,-2.0043170511722566,1.325125851435199,-1.341754125454657,119546
114,3440.0,3482.8,-2.0043170511722566,1.325125851435199,-1.341754125454657,120426
115,4960.0,3493.2,-1.8704538983292878,1.147634752236503,-1.296636522211036,121836
116,4380.0,3512.6,-2.258371073845774,1.0098266265058822,-1.753457760592834,122989
117,4250.0,3535.4,-2.258371073845774,1.0098266265058822,-1.753457760592834,123976
118,3470.0,3542.8,-2.258371073845774,1.0098266265058822,-1.753457760592834,124911
119,5700.0,3562.5,-2.152023913897574,0.8886642492925306,-1.7076917892513088,126291
120,4080.0,3590.4,-2.4440401449799536,1.1548750835208237,-1.8666026032195426,127561
121,4330.0,3580.9,-2.4440401449799536,1.1548750835208237,-1.8666026032195426,128952
122,2540.0,3599.9,-2.2115873392671346,0.9992431777911545,-1.7119657503715573,130038
123,3060.0,3561.6,-1.8874160408973695,1.2343777254163857,-1.2702271781891765,131122
124,2820.0,3558.5,-1.8874160408973695,1.2343777254163857,-1.2702271781891765,131982
125,3320.0,3538.6,-1.8874160408973695,1.2343777254163857,-1.2702271781891765,132893
126,3560.0,3547.7,-1.7975170883350073,1.0651386141411243,-1.2649477812644456,133754
127,3760.0,3551.7,-1.7975170883350073,1.0651386141411243,-1.2649477812644456,134714
128,3700.0,3558.1,-1.782889693789184,0.8719800232134111,-1.346899682182479,135821
129,3680.0,3560.7,-1.782889693789184,0.8719800232134111,-1.346899682182479,136992
130,4100.0,3560.4,-2.1537323458120228,1.0160298557866654,-1.645717417918691,137976
131,4510.0,3576.4,-2.1537323458120228,1.0160298557866654,-1.645717417918691,139013
132,2900.0,3593.8,-1.960542024485767,0.9418659483545022,-1.4896090503085166,139811
